Production,Usage,Plugload
0,162.36,8.87
0,124.17,8.84
0,31.6,8.84
0,32.77,8.84
0,34.17,8.84
0,33.22,8.84
0,35.01,8.92
0,37.08,9.12
3,33.73,9.31
16,30.33,9.31
94,28.73,9.86
107,28.63,9.86
107,30.78,10.44
98,30.15,10.44
52,32.32,10.44
0,35.28,10.44
0,37.75,10.39
0,37.51,10.09
0,37.14,9.79
0,38.32,9.57
0,38.04,9.57
0,39.45,9.57
0,34.47,9.03
0,35.53,8.92
477,1038.51,228.16
0,36.06,8.87
0,36.83,8.84
0,38.91,8.84
0,38.06,8.84
0,38.97,8.84
0,60.93,8.84
0,84.66,12.52
0,43.15,12.79
13,90.08,32.13
10,93.18,32.75
13,92.19,33.31
33,92.34,33.31
16,60.52,22.51
13,50.18,18.01
10,47.92,18.01
0,49.68,18.01
0,51.7,18.01
0,30.09,10.88
0,27.69,10.28
0,27.26,9.98
0,27.31,9.98
0,27.3,9.68
0,26.21,9.39
0,22.52,8.92
108,1193.75,373.57
0,22.35,8.87
0,22.31,8.84
0,22.34,8.84
0,22.35,8.84
0,143.74,8.84
0,148.24,8.84
0,103.85,8.92
0,34.02,9.12
3,33.22,9.31
13,30.06,9.31
13,29.21,9.86
26,28.59,9.86
33,30.24,10.44
26,29.31,10.44
16,28.3,10.44
0,29.02,10.44
0,35.08,10.39
0,37.44,10.09
0,40.02,9.79
0,40.1,9.57
0,41.08,9.57
0,42.6,9.57
0,38.46,9.03
0,39.24,8.92
130,1071.18,228.16
0,40.64,8.84
0,40.98,8.84
0,42.08,8.84
0,45.28,8.84
0,73.1,8.84
0,108.43,12.46
0,137.52,12.85
0,179.79,38.73
13,276.81,107.18
13,273.9,112.58
20,278.31,112.74
23,276.87,112.74
26,235.95,98.8
29,250.35,105.99
39,257.3,105.99
0,253.95,101.49
0,260.68,92.5
0,170.34,63.69
0,107.63,42.1
0,99.57,42.1
0,81.22,34.76
0,78.17,32.06
0,42.35,12.78
0,34.12,8.92
163,3645.32,1294.69
0,34.66,8.84
0,35.47,8.84
0,36.15,8.84
0,35.66,8.84
0,67.01,8.84
0,102.14,12.46
0,112.84,12.85
0,186.85,38.73
10,274.19,107.18
13,276.88,112.58
13,276.27,112.74
33,272.64,112.74
55,231.85,98.8
39,241.77,105.99
16,239.28,105.99
0,243.71,101.49
0,252.6,92.5
0,170.68,63.69
0,107.1,42.1
0,99.76,42.1
0,81.45,34.76
0,78.32,32.06
0,41.65,12.78
0,22.21,8.92
179,3521.13,1294.69
0,33.77,8.84
0,50.26,8.84
0,38.42,8.84
0,40,8.84
0,58.15,8.84
0,88.2,12.46
0,121.43,12.85
0,187.61,38.73
7,275,107.18
13,278.9,112.58
13,275.89,112.74
16,277.18,112.74
13,249.89,98.8
20,268.66,105.99
16,269.4,105.99
0,266,101.49
0,254.57,92.5
0,170.86,63.69
0,107.32,42.1
0,100.06,42.1
0,80.59,34.76
0,76.99,32.06
0,39.46,12.78
0,30.22,8.92
98,3638.83,1294.69
0,32.31,8.84
0,34.04,8.84
0,34.1,8.84
0,37.61,8.84
0,92.42,8.84
0,103.71,12.46
0,102.73,12.85
0,179.43,38.73
3,273.26,107.18
13,278.31,112.58
16,277.27,112.74
23,276.94,112.74
65,250.11,98.8
13,269.34,105.99
10,268.62,105.99
0,265.42,101.49
0,254.77,92.5
0,170.92,63.69
0,106.95,42.1
0,99.89,42.1
0,80.41,34.76
0,76.71,32.06
0,39.44,12.78
0,29.83,8.92
143,3634.54,1294.69
0,30.56,8.84
0,31.59,8.84
0,32.51,8.84
0,35.85,8.84
0,82.37,8.84
0,86.34,12.46
0,98.55,12.85
0,178.18,38.73
7,271.44,107.18
72,277.19,112.58
117,275.47,112.74
137,275.88,112.74
133,248.3,98.8
85,267.74,105.99
81,266.99,105.99
0,264.76,101.49
0,254.23,92.5
0,170.8,63.69
0,107.02,42.1
0,99.89,42.1
0,80.88,34.76
0,76.34,32.06
0,39.47,12.78
0,31.05,8.92
632,3583.4,1294.69
0,30.81,8.87
0,32.38,8.84
0,33.9,8.84
0,37.12,8.84
0,36.89,8.84
0,78.55,8.84
0,94.13,12.52
0,112.65,12.79
16,163.98,32.13
33,127.58,32.75
33,113.25,33.31
33,110.67,33.31
33,87.28,22.51
26,59.41,18.01
29,45.4,18.01
0,47.29,18.01
0,52.05,18.01
0,37.82,10.88
0,27.57,10.28
0,51.53,9.98
0,27.37,9.98
0,44.01,9.68
0,46.46,9.39
0,46.33,8.92
203,1544.43,373.57
0,49.12,8.87
0,47.33,8.84
0,47.12,8.84
0,48.25,8.84
0,50.91,8.84
0,52.48,8.84
0,54.64,8.92
0,56.64,9.12
33,52.95,9.31
81,48.67,9.31
117,67.81,9.86
49,37.88,9.86
42,38.48,10.44
16,36.59,10.44
20,35.78,10.44
0,37.37,10.44
0,44.87,10.39
0,52.62,10.09
0,57.5,9.79
0,56.52,9.57
0,56.55,9.57
0,59.3,9.57
0,59.53,9.03
0,23.47,8.92
358,1172.4,228.16
0,56.56,8.84
0,57.12,8.84
0,60.33,8.84
0,60.32,8.84
0,69.34,8.84
0,125.46,12.46
0,138.46,12.85
0,248.79,38.73
23,373.9,107.18
13,261.29,112.58
13,249.05,112.74
42,250.42,112.74
20,226.31,98.8
33,240.75,105.99
26,241.17,105.99
0,255.11,101.49
